,feature,factor,value,view
491,CEP76,Factor1,0.00456478307393658,mRNA
492,SMAD7,Factor1,0.0545583052700774,mRNA
493,MXRA5,Factor1,0.430016256738055,mRNA
494,STS,Factor1,0.000878652423395101,mRNA
495,GPR143,Factor1,0.0832917095938153,mRNA
496,NXT2,Factor1,0.0222392308674358,mRNA
497,CHRDL1,Factor1,0.520883752767349,mRNA
498,CCDC22,Factor1,0.00663596298787097,mRNA
499,SLC35A2,Factor1,0.0251106910870724,mRNA
500,PCSK1N,Factor1,0.400784824490356,mRNA
501,MAGT1,Factor1,0.034350980495519,mRNA
502,RP2,Factor1,0.00241561636481626,mRNA
503,CDK16,Factor1,0.0134845931391006,mRNA
504,PORCN,Factor1,0.011651348871383,mRNA
505,KLF8,Factor1,0.0301040047682048,mRNA
506,TAF7L,Factor1,0.000864296038587883,mRNA
507,MAPK3,Factor1,0.000382651945628985,mRNA
508,NFAT5,Factor1,0.00873228823027548,mRNA
509,DHODH,Factor1,0.129379686006165,mRNA
510,POLR2C,Factor1,0.000732493259474953,mRNA
511,ZNF821,Factor1,0.0130206936246503,mRNA
512,NDRG4,Factor1,0.00625373276717345,mRNA
513,SETD6,Factor1,0.139042513112525,mRNA
514,TANGO6,Factor1,0.00281017458718033,mRNA
515,SMPD3,Factor1,0.326097246103163,mRNA
516,PLA2G15,Factor1,0.0818029933556385,mRNA
517,HCFC1R1,Factor1,0.210735758804695,mRNA
518,LMF1,Factor1,0.11247000938109,mRNA
519,QPRT,Factor1,0.00277552836392844,mRNA
520,CDIPT,Factor1,0.00456616044902689,mRNA
521,SYT17,Factor1,0.0207163902605769,mRNA
522,CORO2B,Factor1,0.316769504587924,mRNA
523,AP3B2,Factor1,0.0808180861214631,mRNA
524,ACSBG1,Factor1,0.0314204481197166,mRNA
525,IGDCC4,Factor1,0.316019419247038,mRNA
